202.97.42.140 中国电信骨干网 电信
202.97.42.152 广西壮族自治区电信骨干网 电信
202.97.42.160 浙江省电信骨干网 电信
202.97.42.161 浙江省杭州市 电信
202.97.42.162 浙江省 电信
202.97.42.163 浙江省杭州市 电信
202.97.42.164 湖北省电信骨干网 电信
202.97.42.192 内蒙古自治区呼和浩特市 电信
202.97.42.196 四川省成都市电信骨干网 电信
202.97.42.204 湖南省长沙市电信骨干网 电信
202.97.42.216 中国电信骨干网 电信
202.97.42.228 安徽省合肥市 电信
202.97.42.232 内蒙古自治区呼和浩特市 电信
202.97.42.244 中国电信骨干网 电信
202.97.43.0 云南省电信骨干网 电信
202.97.43.4 山西省电信骨干网 电信
202.97.43.8 陕西省电信骨干网 电信
202.97.43.12 甘肃省兰州市电信骨干网 电信
202.97.43.32 安徽省合肥市电信骨干网 电信
202.97.43.36 宁夏回族自治区银川市电信骨干网 电信
202.97.43.40 甘肃省电信骨干网 电信
202.97.43.44 山西省太原市电信骨干网 电信
202.97.43.48 中国电信骨干网 电信
202.97.43.116 新疆维吾尔自治区电信骨干网 电信
202.97.43.120 中国电信骨干网 电信
202.97.43.128 安徽省电信骨干网 电信
202.97.43.129 安徽省合肥市 电信
202.97.43.130 安徽省 电信
202.97.43.131 安徽省合肥市 电信
202.97.43.132 山西省太原市电信骨干网 电信
202.97.43.136 安徽省 电信
202.97.43.137 安徽省合肥市 电信
202.97.43.138 安徽省电信骨干网 电信
202.97.43.140 中国电信骨干网 电信
202.97.43.148 广东省电信骨干网 电信
202.97.43.152 四川省电信骨干网 电信
202.97.43.160 云南省昆明市电信骨干网 电信
202.97.43.168 中国电信骨干网 电信
202.97.43.172 甘肃省兰州市 电信
202.97.43.176 中国电信骨干网 电信
202.97.43.188 宁夏回族自治区电信骨干网 电信
202.97.43.192 西藏自治区电信骨干网 电信
202.97.43.196 中国电信骨干网 电信
202.97.48.74 上海市上海市 电信
202.97.49.0 陕西省西安市电信骨干网 电信
202.97.49.32 上海市上海市电信骨干网 电信
202.97.49.236 湖南省长沙市电信骨干网 电信
202.97.49.248 上海市上海市电信骨干网 电信
202.97.50.0 北京市北京市电信骨干网 电信
202.97.51.0 上海市上海市电信骨干网 电信
202.97.52.0 中国电信骨干网 电信
202.97.53.0 北京市北京市电信骨干网 电信
202.97.54.0 辽宁省电信路由器 电信
202.97.54.128 河北省石家庄市 电信
202.97.54.240 河北省电信路由器 电信
202.97.55.0 中国电信骨干网 电信
202.97.55.52 安徽省合肥市 电信
202.97.55.72 中国电信骨干网 电信
202.97.55.124 江西省南昌市 电信
202.97.55.140 中国电信骨干网 电信
202.97.55.233 陕西省西安市 电信
202.97.56.0 黑龙江省电信骨干网 电信
202.97.56.128 黑龙江省哈尔滨市电信骨干节点 电信
202.97.56.160 吉林省长春市电信骨干节点 电信
202.97.56.224 河北省石家庄市电信骨干节点 电信
202.97.57.0 中国电信骨干网 电信
202.97.60.0 上海市上海市电信骨干网 电信
202.97.62.0 广东省广州市电信骨干网 电信
202.97.62.160 中国电信骨干网 电信
202.97.63.64 广东省广州市 电信
202.97.63.100 中国电信骨干网 电信
202.97.63.136 上海市上海市 电信
202.97.63.184 广东省广州市 电信
202.97.63.220 中国电信骨干网 电信
202.97.64.0 广东省广州市电信骨干网 电信
202.97.65.0 陕西省电信骨干网 电信
202.97.66.0 广西壮族自治区南宁市 电信
202.97.66.4 广西壮族自治区电信骨干节点 电信
202.97.66.128 甘肃省电信骨干网 电信
202.97.67.0 湖北省电信骨干网 电信
202.97.68.0 浙江省杭州市 电信
202.97.68.4 浙江省电信骨干网 电信
202.97.69.0 贵州省贵阳市电信骨干网 电信
202.97.70.0 四川省电信骨干网 电信
202.97.71.0 中国电信骨干网 电信
202.97.72.0 新疆维吾尔自治区乌鲁木齐市 电信
202.97.73.0 中国电信骨干网 电信
202.97.87.0 湖北省武汉市 电信
202.97.88.0 四川省成都市 电信
202.97.89.0 中国 电信
202.97.96.0 香港特别行政区 NULL
202.97.128.0 山西省太原市 联通
202.97.160.0 辽宁省沈阳市 联通
202.97.166.0 辽宁省大连市 联通
202.97.170.0 辽宁省丹东市 联通
202.97.171.0 辽宁省盘锦市 联通
202.97.172.0 辽宁省铁岭市 联通
202.97.173.0 辽宁省本溪市 联通
202.97.174.0 辽宁省鞍山市 联通
202.97.175.0 辽宁省锦州市 联通
202.97.176.0 辽宁省抚顺市 联通
202.97.177.0 辽宁省朝阳市 联通
202.97.178.0 辽宁省营口市 联通
202.97.179.0 辽宁省辽阳市 联通
202.97.180.0 辽宁省锦州市 联通
202.97.181.0 辽宁省沈阳市 联通
202.97.182.0 辽宁省大连市 联通
